column,description
fan_id,Unique synthetic fan identifier
age,Fan age (18–80)
country,Fan's country of residence (real country)
country_region,Fan's geographic region
income_level,"Income category (Low/Medium/High, derived from GDP/capita)"
gdp_per_capita_usd,Real GDP per capita of fan's country
distance_to_host_city_km,Haversine distance from country centroid to nearest 2026 host city
nearest_host_city,Nearest official 2026 World Cup host city
nearest_host_country,Country of the nearest host city (USA/Canada/Mexico)
favorite_team_qualified,Whether fan's favorite team (national) qualified (1=Yes)
previous_worldcup_attendance,Whether fan previously attended a World Cup (1=Yes)
football_engagement_score,General football interest score (0–100)
social_media_engagement,World Cup social media engagement (0–100)
ticket_search_count,Recent ticket-related search count
flight_search_count,Recent flight-related search count
hotel_search_count,Recent hotel-related search count
estimated_trip_cost,Estimated total trip cost in USD
visa_required,"Whether visa is required for host country entry (1=Yes, real policy)"
days_until_match,Days until the target match
match_importance,Match stage (Group/Round of 32/Round of 16/Quarter-final/Semi-final/Final)
campaign_cost_usd,Estimated marketing campaign cost per person (USD)
potential_net_revenue_usd,Estimated potential net revenue if fan converts (USD)
expected_value_usd,travel_probability * potential_revenue - campaign_cost
travel_probability_synthetic,Hidden synthetic probability — NOT a model feature (data leakage)
will_travel,"Target: 1 if fan travels/interested, 0 otherwise"
