fan_id,age,country,country_region,income_level,gdp_per_capita_usd,distance_to_host_city_km,nearest_host_city,nearest_host_country,favorite_team_qualified,previous_worldcup_attendance,football_engagement_score,social_media_engagement,ticket_search_count,flight_search_count,hotel_search_count,estimated_trip_cost,visa_required,days_until_match,match_importance,campaign_cost_usd,potential_net_revenue_usd,expected_value_usd,travel_probability_synthetic,will_travel
1,38,India,Asia,Low,2400,11426.9,Vancouver,Canada,0,0,44.6,39.0,3,0,1,2494.32,1,90,Round of 16,7.83,857.25,60.32,0.0795,0
2,77,China,Asia,Medium,12500,9124.1,Vancouver,Canada,0,0,67.4,67.9,3,0,0,2537.8,1,177,Quarter-final,9.7,799.13,377.72,0.4848,0
3,65,India,Asia,Low,2400,11895.1,Vancouver,Canada,0,0,68.6,61.9,3,1,2,3634.47,1,72,Round of 32,12.03,1056.51,49.88,0.0586,0
4,78,India,Asia,Low,2400,12612.8,Vancouver,Canada,0,1,59.6,49.2,4,1,1,2223.16,1,208,Round of 32,7.29,989.52,98.69,0.1071,0
5,74,Mexico,North America,Medium,10700,298.1,Monterrey,Mexico,1,0,95.2,100.0,5,4,5,150.0,0,263,Group,11.6,29.91,15.96,0.9214,1
6,53,Egypt,Africa,Low,4000,8575.7,Boston,USA,1,0,56.1,54.8,1,2,2,1942.93,1,188,Group,9.92,569.55,16.85,0.047,0
7,66,India,Asia,Low,2400,11165.2,Vancouver,Canada,0,0,65.7,40.3,2,0,1,3066.98,1,312,Round of 32,8.05,1177.39,77.31,0.0725,0
8,22,India,Asia,Low,2400,9436.7,Vancouver,Canada,0,1,51.4,67.9,1,0,0,1698.81,1,327,Group,9.14,402.3,6.71,0.0394,0
9,49,Brazil,South America,Medium,8900,5042.5,Miami,USA,1,0,62.0,19.5,1,3,0,1135.92,1,50,Group,5.53,316.92,101.94,0.3391,0
10,52,China,Asia,Medium,12500,9487.5,Vancouver,Canada,0,1,78.3,58.8,5,4,2,1966.25,1,143,Group,9.17,480.24,171.16,0.3755,1
11,38,China,Asia,Medium,12500,10449.0,Vancouver,Canada,1,0,55.3,26.6,3,0,1,2070.83,1,339,Group,6.29,478.04,155.05,0.3375,0
12,76,Nigeria,Africa,Low,2100,8512.5,Boston,USA,1,0,94.4,86.8,4,1,1,2364.93,1,54,Group,7.59,473.77,146.1,0.3244,0
13,43,India,Asia,Low,2400,13360.0,Vancouver,Canada,0,0,74.6,79.9,5,2,0,2074.14,1,104,Semi-final,5.9,1103.26,48.27,0.0491,0
14,26,India,Asia,Low,2400,11217.4,Vancouver,Canada,0,0,34.4,66.9,3,2,1,3219.44,1,181,Group,11.78,738.25,0.33,0.0164,0
15,63,China,Asia,Medium,12500,10230.7,Vancouver,Canada,0,0,77.2,75.4,3,3,0,3596.71,1,119,Round of 32,6.97,1184.85,376.92,0.324,1
16,78,Spain,Europe,High,31000,5513.1,Boston,USA,1,0,89.2,99.4,2,2,1,1258.99,0,124,Round of 32,8.5,265.62,206.41,0.8091,1
17,35,China,Asia,Medium,12500,9163.3,Vancouver,Canada,0,0,72.0,86.8,3,3,3,2516.06,1,121,Semi-final,10.76,1181.61,366.06,0.3189,0
18,56,United States,North America,High,76330,337.6,Kansas City,USA,1,1,75.8,71.0,4,3,1,150.0,0,206,Round of 32,10.45,46.33,34.82,0.9772,1
19,54,India,Asia,Low,2400,12694.5,Vancouver,Canada,0,0,61.3,36.5,1,1,2,2666.58,1,336,Final,8.97,1189.09,241.45,0.2106,0
20,41,India,Asia,Low,2400,12508.3,Vancouver,Canada,0,0,26.3,28.8,2,0,0,3381.01,1,267,Quarter-final,11.7,1103.68,6.51,0.0165,0
21,36,India,Asia,Low,2400,12403.1,Vancouver,Canada,0,0,59.1,100.0,2,6,2,3425.3,1,176,Round of 16,12.14,951.02,82.01,0.099,0
22,22,China,Asia,Medium,12500,10273.2,Vancouver,Canada,0,0,86.2,47.6,4,2,2,2605.29,1,52,Round of 32,6.01,1001.62,163.16,0.1689,1
23,64,Egypt,Africa,Low,4000,9153.9,Boston,USA,0,0,82.3,86.3,2,3,1,2130.09,1,254,Round of 32,5.5,787.47,47.81,0.0677,0
24,34,India,Asia,Low,2400,11816.3,Vancouver,Canada,0,0,56.1,94.6,2,3,0,2474.06,1,333,Group,9.55,817.06,30.98,0.0496,0
25,50,India,Asia,Low,2400,11641.6,Vancouver,Canada,0,1,68.9,93.4,3,2,0,2221.13,1,129,Round of 32,7.5,610.22,51.87,0.0973,0
26,70,England,Europe,High,46500,5348.3,Boston,USA,1,1,97.3,100.0,5,2,5,1325.47,0,368,Final,10.37,829.27,784.9,0.959,1
27,38,China,Asia,Medium,12500,8553.5,Vancouver,Canada,0,0,65.7,80.0,3,0,0,2687.82,1,159,Semi-final,10.8,1017.25,251.35,0.2577,0
28,21,United States,North America,High,76330,366.6,Kansas City,USA,1,1,65.3,79.9,6,4,2,150.0,0,73,Quarter-final,5.08,47.54,39.41,0.9358,1
29,20,Argentina,South America,Medium,11000,7816.4,Miami,USA,1,0,95.3,100.0,3,3,3,2217.08,1,153,Group,12.19,857.77,347.56,0.4194,0
30,35,India,Asia,Low,2400,11701.0,Vancouver,Canada,0,0,50.9,40.0,1,1,0,1800.68,1,117,Group,6.41,429.32,12.91,0.045,0
31,48,India,Asia,Low,2400,10773.3,Vancouver,Canada,0,0,60.4,68.4,2,0,1,3564.52,1,47,Semi-final,10.23,1251.48,256.71,0.2133,1
32,61,Egypt,Africa,Low,4000,9535.3,Boston,USA,1,1,58.4,67.5,1,1,2,2339.48,1,348,Quarter-final,12.45,1048.0,155.96,0.1607,0
33,56,China,Asia,Medium,12500,9917.3,Vancouver,Canada,0,0,65.3,98.7,1,2,0,2231.47,1,330,Group,12.64,655.59,118.41,0.1999,0
34,51,China,Asia,Medium,12500,10691.2,Vancouver,Canada,1,1,73.0,46.5,2,5,5,2651.32,1,313,Group,13.47,585.75,144.45,0.2696,0
35,38,China,Asia,Medium,12500,10054.2,Vancouver,Canada,0,0,51.4,52.7,2,2,1,3627.14,1,53,Final,10.84,2048.39,420.35,0.2105,0
36,19,England,Europe,High,46500,5209.4,Boston,USA,1,1,95.5,100.0,3,3,1,1033.8,0,221,Round of 32,5.43,405.68,376.52,0.9415,1
37,39,Brazil,South America,Medium,8900,4631.2,Miami,USA,1,0,100.0,60.1,5,0,3,1781.29,1,374,Final,9.22,651.84,511.73,0.7992,1
38,68,China,Asia,Medium,12500,9759.2,Vancouver,Canada,0,0,78.0,90.0,1,5,3,2137.45,1,300,Round of 32,11.14,598.53,177.82,0.3157,0
39,68,France,Europe,High,44500,5486.9,Boston,USA,1,0,64.7,72.4,1,1,3,1513.28,0,189,Group,10.49,577.21,319.04,0.5709,0
40,42,India,Asia,Low,2400,12573.8,Vancouver,Canada,0,1,57.7,49.8,3,1,1,2977.19,1,246,Group,13.03,978.19,-3.54,0.0097,0
41,60,China,Asia,Medium,12500,8319.7,Vancouver,Canada,1,0,66.2,56.9,3,1,3,1455.86,1,378,Quarter-final,6.53,746.63,301.9,0.4131,1
42,53,India,Asia,Low,2400,12376.3,Vancouver,Canada,0,0,27.3,50.0,1,0,0,2328.45,1,62,Quarter-final,9.44,799.24,12.14,0.027,0
43,63,India,Asia,Low,2400,13011.6,Vancouver,Canada,0,0,40.9,45.7,0,1,2,3190.92,1,323,Quarter-final,6.61,1159.22,134.81,0.122,0
44,52,South Korea,Asia,High,35000,9050.3,Vancouver,Canada,1,1,82.0,100.0,2,4,1,2439.4,0,234,Round of 16,9.49,729.48,659.59,0.9172,1
45,57,India,Asia,Low,2400,11521.3,Vancouver,Canada,0,0,39.1,46.9,1,0,1,3294.24,1,335,Quarter-final,10.25,1243.48,40.36,0.0407,1
46,47,India,Asia,Low,2400,11406.8,Vancouver,Canada,0,0,82.4,91.7,2,3,2,1887.81,1,100,Group,7.98,630.64,284.51,0.4638,0
47,26,China,Asia,Medium,12500,8621.7,Vancouver,Canada,0,0,69.3,53.1,4,1,3,2617.51,1,113,Round of 16,5.84,909.4,398.3,0.4444,0
48,58,Japan,Asia,High,40000,6717.4,Vancouver,Canada,0,0,79.9,95.5,5,1,0,1559.05,0,45,Round of 32,11.83,536.35,463.11,0.8855,1
49,78,India,Asia,Low,2400,12113.8,Vancouver,Canada,0,1,34.8,57.0,5,3,0,3185.68,1,290,Semi-final,8.45,1869.26,504.85,0.2746,0
50,40,Brazil,South America,Medium,8900,5304.9,Miami,USA,1,0,100.0,100.0,0,5,2,1698.14,1,299,Round of 32,7.3,556.67,442.82,0.8086,1
51,58,Germany,Europe,High,51500,6110.7,Boston,USA,1,1,88.8,97.8,4,1,1,1668.67,0,210,Group,11.49,444.42,373.11,0.8654,1
52,73,United States,North America,High,76330,321.3,Kansas City,USA,1,1,88.9,100.0,2,2,0,150.0,0,29,Group,9.86,47.84,31.02,0.8545,1
53,19,India,Asia,Low,2400,12068.2,Vancouver,Canada,0,0,65.7,36.7,3,2,1,3861.92,1,266,Final,11.6,1946.46,293.22,0.1566,0
54,46,India,Asia,Low,2400,11566.8,Vancouver,Canada,0,1,45.7,17.7,1,0,1,2607.26,1,5,Group,11.3,756.45,24.03,0.0467,0
55,34,India,Asia,Low,2400,12176.4,Vancouver,Canada,0,0,39.5,10.1,0,2,1,1832.53,1,384,Semi-final,11.94,640.83,1.97,0.0217,0
56,70,India,Asia,Low,2400,10376.4,Vancouver,Canada,0,0,65.5,66.4,3,4,3,2704.24,1,157,Group,13.42,809.69,176.37,0.2344,0
57,79,China,Asia,Medium,12500,9233.1,Vancouver,Canada,0,1,61.8,72.7,3,2,0,2518.51,1,152,Round of 32,8.82,677.11,147.59,0.231,0
58,77,China,Asia,Medium,12500,9388.5,Vancouver,Canada,0,1,75.6,88.5,3,1,3,2378.24,1,361,Group,11.06,512.35,96.07,0.2091,0
59,74,Brazil,South America,Medium,8900,5742.1,Miami,USA,1,0,90.3,38.4,4,2,0,1607.79,1,82,Group,12.21,388.44,234.6,0.6354,1
60,44,Brazil,South America,Medium,8900,5174.4,Miami,USA,1,0,100.0,100.0,4,4,3,1171.42,1,18,Group,9.13,423.25,196.74,0.4864,0
61,47,India,Asia,Low,2400,11526.8,Vancouver,Canada,0,1,69.0,87.9,0,2,1,2814.55,1,27,Round of 16,8.62,1160.81,83.55,0.0794,0
62,66,China,Asia,Medium,12500,8660.1,Vancouver,Canada,0,0,64.3,93.3,4,3,2,1778.12,1,189,Round of 16,11.04,841.84,482.45,0.5862,0
63,71,China,Asia,Medium,12500,8678.5,Vancouver,Canada,0,0,70.6,57.9,4,2,1,2821.59,1,76,Quarter-final,8.72,961.29,316.68,0.3385,0
64,70,India,Asia,Low,2400,11979.0,Vancouver,Canada,0,0,24.9,17.3,4,3,3,2997.17,1,273,Group,9.5,673.75,-2.96,0.0097,0
65,69,India,Asia,Low,2400,11149.8,Vancouver,Canada,0,0,51.1,49.8,2,3,2,2464.12,1,174,Group,12.51,598.66,39.27,0.0865,0
66,26,China,Asia,Medium,12500,9222.4,Vancouver,Canada,0,0,77.7,78.2,2,1,1,2184.37,1,297,Round of 32,11.85,664.54,77.0,0.1337,0
