feature,importance
trip_feasibility,0.32194699335740595
travel_barrier_score,0.2689183083982218
team_engagement_interaction,0.09376529980008133
football_engagement_score,0.07884166301677725
fan_enthusiasm_score,0.06077768035856811
distance_to_host_city_km,0.057123636533936414
visa_required,0.02812621154760721
gdp_per_capita_usd,0.027185245567867524
match_importance_Group,0.0144634432566572
match_importance_Final,0.009065956141918028
cost_income_index,0.007543380577227362
potential_net_revenue_usd,0.0036117866029609655
income_level_Low,0.003455780003039183
match_importance_Semi-final,0.0033114490922017343
social_media_engagement,0.0029271780558144975
match_importance_Quarter-final,0.0026564883151450544
match_importance_Round of 32,0.0022366155329288924
engagement_composite,0.0019343508398978364
days_until_match,0.00187606844211654
estimated_trip_cost,0.0018446270408503257
campaign_cost_usd,0.0017497290409592009
previous_worldcup_attendance,0.0014162910978907034
search_intent_ratio,0.0013905178300832233
age,0.001289859013750601
ticket_search_count,0.0008133172057691876
travel_affinity_score,0.0003229808475830885
flight_search_count,0.00026487458711557584
country_region_South America,0.0002569585615346698
hotel_search_count,0.00022996047663718803
income_level_High,0.00014632659782424378
nearest_host_country_Mexico,0.00014572570489361988
income_level_Medium,0.00013786617731023347
days_urgency_soon,8.737458972577331e-05
country_region_Europe,3.8449299293036695e-05
country_region_Oceania,3.739317851264155e-05
nearest_host_country_USA,3.386381406541167e-05
nearest_host_country_Canada,2.634949582845723e-05
match_importance_Round of 16,0.0
country_region_North America,0.0
distance_bucket_intercontinental,0.0
distance_bucket_local,0.0
distance_bucket_regional,0.0
days_urgency_early,0.0
days_urgency_last_minute,0.0
days_urgency_planning,0.0
country_region_Africa,0.0
favorite_team_qualified,0.0
country_region_Asia,0.0
