Model,Threshold,Accuracy,Precision,Recall,F1,TP,FP,FN,TN,TP_impact_usd,FP_impact_usd,FN_impact_usd,Net_business_impact_usd
Logistic Regression,0.1,0.5572,0.4673,0.9711,0.631,4732,5394,141,2233,2475575.04,-50962.09,-134176.42,2290436.53
Logistic Regression,0.15,0.6308,0.5145,0.9364,0.6641,4563,4305,310,3322,2321735.12,-40743.33,-289640.66,1991351.13
Logistic Regression,0.2,0.6849,0.5594,0.9023,0.6906,4397,3463,476,4164,2170095.11,-32624.15,-442863.92,1694607.04
Logistic Regression,0.25,0.7261,0.6041,0.8627,0.7106,4204,2755,669,4872,2021501.68,-25896.9,-593266.92,1402337.86
Logistic Regression,0.3,0.7554,0.6469,0.8206,0.7235,3999,2183,874,5444,1866551.25,-20385.44,-750144.93,1096020.88
Logistic Regression,0.35,0.7731,0.6838,0.7775,0.7277,3789,1752,1084,5875,1703506.33,-16354.75,-915162.09,771989.49
Logistic Regression,0.4,0.7859,0.722,0.7332,0.7276,3573,1376,1300,6251,1525730.27,-12758.47,-1094940.7,418031.1
Logistic Regression,0.45,0.7905,0.7516,0.691,0.72,3367,1113,1506,6514,1365808.86,-10268.74,-1256791.96,98748.16
Logistic Regression,0.5,0.7929,0.7783,0.6554,0.7116,3194,910,1679,6717,1238927.57,-8376.9,-1385346.7,-154796.03
Logistic Regression,0.55,0.7898,0.7967,0.6185,0.6964,3014,769,1859,6858,1105418.6,-7023.28,-1520554.01,-422158.69
Logistic Regression,0.6,0.785,0.8129,0.5824,0.6786,2838,653,2035,6974,992663.13,-5930.02,-1635004.97,-648271.86
Logistic Regression,0.65,0.7771,0.8266,0.542,0.6547,2641,554,2232,7073,874775.26,-5032.7,-1754772.53,-885029.97
Logistic Regression,0.7,0.767,0.8449,0.4929,0.6226,2402,441,2471,7186,757893.21,-3938.16,-1873834.67,-1119879.62
Logistic Regression,0.75,0.7561,0.8669,0.4422,0.5857,2155,331,2718,7296,633046.29,-2946.21,-2000921.63,-1370821.55
Logistic Regression,0.8,0.7384,0.8878,0.3766,0.5288,1835,232,3038,7395,491378.12,-2124.61,-2145554.51,-1656301.0
Logistic Regression,0.85,0.7126,0.9167,0.2889,0.4394,1408,128,3465,7499,306288.19,-1170.39,-2334561.78,-2029443.98
Logistic Regression,0.9,0.6715,0.9275,0.1707,0.2884,832,65,4041,7562,130892.61,-604.71,-2515158.14,-2384870.24
Random Forest,0.1,0.4755,0.4257,0.9889,0.5952,4819,6502,54,1125,2554212.61,-61573.36,-54665.97,2437973.28
Random Forest,0.15,0.5499,0.4632,0.9713,0.6272,4733,5486,140,2141,2474979.75,-51928.28,-134740.74,2288310.73
Random Forest,0.2,0.6074,0.4982,0.9493,0.6534,4626,4660,247,2967,2377747.25,-44117.58,-233008.84,2100620.83
Random Forest,0.25,0.6518,0.5307,0.9241,0.6742,4503,3982,370,3645,2271114.85,-37619.64,-340869.6,1892625.61
Random Forest,0.3,0.6867,0.5614,0.8976,0.6908,4374,3417,499,4210,2163504.06,-32223.23,-449690.07,1681590.76
Random Forest,0.35,0.7225,0.6003,0.8621,0.7078,4201,2797,672,4830,2020653.54,-26226.85,-594153.06,1400273.63
Random Forest,0.4,0.7517,0.6421,0.8202,0.7203,3997,2228,876,5399,1862574.49,-20841.66,-754157.45,1087575.38
Random Forest,0.45,0.771,0.6837,0.7675,0.7232,3740,1730,1133,5897,1660382.42,-16096.6,-958804.82,685481.0
Random Forest,0.5,0.7829,0.72,0.725,0.7225,3533,1374,1340,6253,1492603.87,-12751.87,-1128468.78,351383.22
Random Forest,0.55,0.7867,0.7473,0.6844,0.7144,3335,1128,1538,6499,1323107.13,-10374.39,-1299858.29,12874.45
Random Forest,0.6,0.7872,0.7693,0.6487,0.7039,3161,948,1712,6679,1173277.49,-8649.78,-1451396.95,-286769.24
Random Forest,0.65,0.7863,0.793,0.6115,0.6905,2980,778,1893,6849,1044342.81,-7037.22,-1582012.92,-544707.33
Random Forest,0.7,0.7817,0.8151,0.5691,0.6702,2773,629,2100,6998,915820.59,-5656.66,-1712501.87,-802337.94
Random Forest,0.75,0.7737,0.8344,0.5233,0.6432,2550,506,2323,7121,791033.36,-4514.32,-1839396.24,-1052877.2
Random Forest,0.8,0.7597,0.8555,0.4615,0.5996,2249,380,2624,7247,646977.06,-3364.85,-1986203.33,-1342591.12
Random Forest,0.85,0.7406,0.8756,0.3901,0.5398,1901,270,2972,7357,475392.66,-2402.79,-2160954.15,-1687964.28
Random Forest,0.9,0.7058,0.9002,0.2758,0.4222,1344,149,3529,7478,240632.76,-1347.7,-2400823.13,-2161538.07
Gradient Boosting,0.1,0.5582,0.4678,0.9688,0.6309,4721,5371,152,2256,2464596.95,-50810.75,-145262.55,2268523.65
Gradient Boosting,0.15,0.631,0.5146,0.9378,0.6646,4570,4310,303,3317,2331946.44,-40726.71,-279361.86,2011857.87
Gradient Boosting,0.2,0.686,0.5606,0.9005,0.691,4388,3440,485,4187,2176628.06,-32448.27,-436400.25,1707779.54
Gradient Boosting,0.25,0.7254,0.6036,0.8609,0.7096,4195,2755,678,4872,2020419.23,-25915.16,-594453.51,1400050.56
Gradient Boosting,0.3,0.7554,0.649,0.8116,0.7213,3955,2139,918,5488,1842215.15,-20060.62,-774917.31,1047237.22
Gradient Boosting,0.35,0.7738,0.6872,0.7706,0.7265,3755,1709,1118,5918,1687469.82,-15950.68,-931541.98,739977.16
Gradient Boosting,0.4,0.785,0.7209,0.732,0.7264,3567,1381,1306,6246,1532779.41,-12817.39,-1087964.53,431997.49
Gradient Boosting,0.45,0.7887,0.7496,0.6879,0.7174,3352,1120,1521,6507,1359877.46,-10335.84,-1262869.8,86671.82
Gradient Boosting,0.5,0.7898,0.7719,0.6542,0.7082,3188,942,1685,6685,1226918.77,-8680.61,-1397413.49,-179175.33
Gradient Boosting,0.55,0.789,0.7942,0.6193,0.696,3018,782,1855,6845,1101803.46,-7142.35,-1524147.33,-429486.22
Gradient Boosting,0.6,0.7843,0.8095,0.5842,0.6787,2847,670,2026,6957,991630.13,-6087.02,-1635973.67,-650430.56
Gradient Boosting,0.65,0.7793,0.825,0.5506,0.6604,2683,569,2190,7058,891054.95,-5130.2,-1738092.19,-852167.44
Gradient Boosting,0.7,0.7698,0.841,0.5048,0.6309,2460,465,2413,7162,770834.15,-4182.21,-1860389.81,-1093737.87
Gradient Boosting,0.75,0.7592,0.8623,0.455,0.5956,2217,354,2656,7273,646937.33,-3159.48,-1986486.13,-1342708.28
Gradient Boosting,0.8,0.7411,0.8798,0.3891,0.5396,1896,259,2977,7368,498855.14,-2361.14,-2137522.08,-1641028.08
Gradient Boosting,0.85,0.7129,0.9033,0.2951,0.4449,1438,154,3435,7473,305053.28,-1407.86,-2335534.1,-2031888.68
Gradient Boosting,0.9,0.6678,0.9401,0.1578,0.2703,769,49,4104,7578,97732.72,-460.44,-2548894.86,-2451622.58
